"Obsolète","Code terrain","Toponyme","Type","Date creation","Dernière modification","Date validation","Position","Latitude","Longitude","Altitude","Consignes","Nombre de pistes","Nature première piste","Axe préférentiel première piste","Largeur première piste","Longueur première piste","Orientation première piste","Nature deuxième piste","Axe préférentiel deuxième piste","Largeur deuxième piste","Longueur deuxième piste","Orientation deuxième piste","Radio","Carburant","Facilités","Facilités en clair","Email de contact","Téléphone","Informations complémentaires"
"","LF0221","Azur Ulm","Base ULM Accès privé","26/07/2011","20/10/2017","22/10/2017","49.461067531545, 3.8483798503875732","N 49 27 40","E 003 50 54","240 ft","Piste 'technique' pour les débutants. En montée vers le Nord.Aérologie parfois 'déconcertante' sur les 2 finales.Tour de piste à 700 ft QNH à l'Est des installations.Merci de ne pas survoler le village de CORBENY.","1","herbe","","20","235","'18-36","herbe","","","","'Inconnue","auto-info 123.5","Non","6,2,4,5","Restauration à proximité, Hangar possible, Gîte à proximité, Camping possible","contact@azur-ulm.fr","+33 6 18 57 94 56","Arnaud GILOTIN, propriétaire-gestionnaire est instructeur paramoteur, pendulaire, multiaxe, autogire.Contacter Arnaud au 06.18.57.94.56Consignes sur www.azur-ulm.frPour le hangar contacter Arnaud."
"","LF0223","Mosloy","Règles spécifiques d'accès","27/04/2011","20/08/2017","21/08/2017","49.174761423663, 3.154671284357846","N 49 10 29","E 003 09 17","453 ft","Téléphoner au gestionnaire (06 82 31 98 82) pour connaitre l'état de la piste avant de se poser, sauf urgence ou cas de force majeure.Posez plutôt en partie haute de la piste 11 (meilleur état)","1","herbe","'29","50","350","'11-29","herbe","","","","'Inconnue","123.5","A 5 kms Super U","6,4,5","Restauration à proximité, Gîte à proximité, Camping possible","ofjpeca@orange.fr","+33 3 23 85 24 02","Piste située au sud, et parallèle au hameau de Mosloy.Propriétaire très sympa, abris (hangar) possible.Village à visiter, ancien château "
"","LF0225","Ployart","Base ULM Accès privé","23/10/2011","22/12/2015","2/01/2016","49.503888888889, 3.7380555555555475","N 49 30 14","E 003 44 17","580 ft","","1","herbe","","40","450","'05-23","herbe","","","","'Inconnue","auto-info 123.5","","","","","",""
"","LF0226","Brochot","Aérodrome Privé Ouvert aux ULM","8/03/2011","25/12/2015","17/02/2016","48.976617705649, 3.373195474868794","N 48 58 36","E 003 22 24","574 ft","Tour de piste au NordEviter le survol du Village","1","herbe","","30","300","'07-25","herbe","","","","'Inconnue","Auto info 123.5","Sur demande","2,4,5","Hangar possible, Gîte à proximité, Camping possible","champagne.petit@orange.fr","+33 6 80 65 93 74","Téléphoner avant visite ULM bienvenus"
"oui","LF0251","Besny-Loizy","Base ULM fermée définitivement","8/03/2011","16/12/2013","17/12/2013","49.586389, 3.575833","N 49 35 11","E 003 34 33","262 ft","ATTENTION. PLATEFORME REMISE EN CULTURE QUI N'EXISTE PLUS. ","1","herbe","","","340","'13-31","herbe","","","","'Inconnue","","","","","","",""
"","LF0253","Neuflieux","Base ULM Autorisation OBLIGATOIRE ","23/10/2011","22/12/2015","30/12/2015","49.6110714430628, 3.1485486030578613","N 49 36 40","E 003 08 55","195 ft","","2","herbe","","20","200","'17-35","herbe","","20","200","'06-24","auto-info 123.5","","","","ulm@chauny.com","+33 6 75 64 54 02",""
"oui","LF0255","Thiérache - Vigneux","Base ULM fermée définitivement","23/10/2011","23/10/2011","12/12/2013","49.728529529831, 4.008035659790039","N 49 43 43","E 004 00 29","600 ft","Circuit au sud à 500ft QFE de préférence la 26 qui est en légère montée.TERRAIN FERME","1","herbe","","0","600","'08-26","","","","","","auto-info 123.5","","","","","+33 6 60 12 43 54","TERRAIN FERME."
"","LF0256","Corbeny ","Base ULM Autorisation OBLIGATOIRE ","8/03/2011","22/12/2015","30/12/2015","49.45763852316789, 3.8545103227538675","N 49 27 27","E 003 51 16","230 ft","Strict PPR : plateforme privée. Il s'agit d'un terrain privatif, avec un accès strictement réservé (donc accès réservé aux personnes autorisées par le propriétaire).","1","herbe","","","400","'18-36","herbe","","","","'Inconnue","","","","","","","Ne pas confondre avec azur ulm à 500 m au Nord Ouest"
"","LF0257","Taillefontaine","Base ULM Autorisation OBLIGATOIRE ","23/10/2011","21/05/2017","22/05/2017","49.30708209517026, 3.0651940687865817","N 49 18 25","E 003 03 55","475 ft","","1","herbe","","25","600","'03-21","herbe","","","","'Inconnue","auto-info 123.5","","","","","+33 3 23 96 00 11",""
"","LF0258","La Flamengrie","Base ULM Accès privé","5/07/2011","22/12/2015","30/12/2015","50.000250186864, 3.944821357727051","N 50 00 01","E 003 56 41","642 ft","en 01 : arbres et haieen 19 : route et haie","1","herbe","'01","40","300","'01-19","herbe","","","","'Inconnue","123.45","","","","","+33 3 23 97 23 12","Téléphoner avant de venir. Très accueillant."
"","LF0259","Base Ulm du Val de l'Ailette","Base ULM Accès privé","3/03/2014","22/12/2015","30/12/2015","49.56744269009908, 3.2303074391684206","N 49 34 03","E 003 13 49","184 ft","verticale 300m solcircuit de piste par l'est, à 150 m sol, côté hangarAu sud des installations,le seuil de piste est décalé , il se situe à 105 m de la route.","1","herbe","","","250","'18-36","herbe","","","","'Inconnue","","","","","","+33 6 88 18 07 66",""
"","LF0324","Veauce","Base ULM Autorisation OBLIGATOIRE ","23/10/2011","29/08/2017","30/08/2017","46.173333333333, 3.0588888888888732","N 46 10 24","E 003 03 32","1570 ft","Plateforme privée. C'est ce qui reste de l'ancien aérodrome (pour avions) de Veauce.","1","herbe","","30","300","'12-30","herbe","","","","'Inconnue","auto-info 123.5","","","invalid","nicole_lagoutte@orange.fr","+33 6 81 91 79 07",""
"oui","LF0352","Deneuille les Chanteille","Base ULM fermée définitivement","8/03/2011","16/06/2012","17/12/2013","46.25046204786897, 3.145910232788083","N 46 15 02","E 003 08 45","1105 ft","Plateforme privée occasionnelle, PPR à Mr Berton Alain, phone: 04 70 56 61 90.","1","herbe","","","","'18-36","herbe","","","","'Inconnue","","","","","","+33 4 70 56 61 90",""
"","LF0353","Saint Fargeol Les Fougères","EPISODIQUE","23/10/2011","22/02/2016","28/02/2016","46.141666666667, 2.6113888888888823","N 46 08 30","E 002 36 41","1706 ft","Seuil à 200m au sud du hangar au 30 ouestchamp agri : si manche air et balises posées, atterrissage possible. Faire un passage bas pour assurerMaison seule à 500m à l'ouest.tél. 06 20 35 05 24 avant si possible !","1","herbe","","50","280","'01-19","herbe","","","","'Inconnue","Auto info 123.5","","6","Restauration à proximité","jm.ducros@wanado.fr","+33 1 06 20 35 05 24","Possibilité de poser à partir de juin (herbe basse) tél. auparavant Resto à 4 km. Zone de vol basse altitude R-143."
"","LF0354","Verneuil en Bourbonnais","Base ULM Autorisation OBLIGATOIRE ","23/10/2011","24/12/2015","19/01/2016","46.359903509900356, 3.268334505293069","N 46 21 36","E 003 16 06","885 ft","","1","herbe","","20","250","'02-20","herbe","","","","'Inconnue","auto-info 123.5","","","","","+33 4 70 45 36 16","site : à 800m au nord du carrefour D34/D18, en bordure est de la D18."
"","LF0355","Banelle","Base ULM Autorisation OBLIGATOIRE ","8/03/2011","13/09/2015","3/10/2015","46.125213945438745, 3.2869030343932764","N 46 07 31","E 003 17 13","355 ft","Seuil décalé de 50m cote nord car route proximité entrée de piste. Circuit de piste recommandé à l'est .","1","herbe","","20","300","'01-19","herbe","","","","'Inconnue","Auto-info 123.5","","","","","",""
"","LF0369","La Tuilière","Aérodrome Privé Ouvert aux ULM","23/10/2011","24/12/2015","19/01/2016","46.532689906287835, 3.1183697265785213","N 46 31 58","E 003 07 06","860 ft","Atterrissage obligatoire en 20 face au bois, à cause du léger dénivelé et de la hauteur des arbres. Attention : piste situé dans le couloir LF-R144 (800-2000ft ASFC). Consulter l'activité avant de venir.","1","herbe","'20","20","550","'02-20","herbe","","","","'Inconnue","123.5","SP95 (réserver)","","","domaine-la-tuiliere@orange.fr","+33 4 70 46 53 59","Webcam : http://domainelatuiliere.noip.me:1651Station méteo sur place :http://www.weatherlink.com/user/tuiliere03/index.php?view=main&headers=1"
"","LF0421","Clamensane les 3 Fontaines","AltiSurface temporairement fermée.","8/03/2011","4/09/2017","5/09/2017","44.314318784384, 6.071526201036249","N 44 18 52","E 006 04 17","2933 ft","Atterrissage en 22, décollage en 04Piste 22 en pente montante de 13% sur les 200 premiers mètresLes 200m restants sont quasi horizontauxLe haut de la piste est à 2945ft. Attention à la vélisuface de La-Motte-du-Caire toute proche dans la vallée.","1","herbe","'22","20","400","'04-22","herbe","","","","'Inconnue","123.5","","3,4,5","Restauration sur place, Gîte à proximité, Camping possible","les-3-fontaines@wanadoo.fr","+33 4 92 68 36 16","Avions : Qualification Montagne obligatoire.ULM : Libre d'accès.PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668.PPR au propriétaire (Mr Bruhl) exploitant le centre de loisirstél 04 92 68 36 16 fax: 04 92 68 38 90Conditions particulières pour les pilotes:Accès WIFI"
"oui","LF0422","Plateau de l'Alp","Altisurface fermée","8/03/2011","6/12/2013","10/12/2013","44.350556, 6.724166999999966","N 44 21 02","E 006 43 27","7150 ft","","1","neige","","","600","'12-30","","","","","","","","","","","+33 4 92 62 60 75",""
"","LF0426","Thorame Haute Les Serres","AltiSurface en service ","8/03/2011","27/02/2016","29/02/2016","44.12305555555555, 6.559999999999945","N 44 07 23","E 006 33 36","6129 ft","","1","herbe","'31","","","'13-31","herbe","","","","'Inconnue","","","","","","+33 4 92 62 60 75","Avions : Qualification Montagne requise.ULM : Libre d'accès.PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668."
"","LF0429","Sainte Croix sur Verdon","Aérodrome Privé Ouvert aux ULM","8/03/2011","30/08/2017","31/08/2017","43.778675716043, 6.159635219573829","N 43 46 43","E 006 09 35","2190 ft","circuits obligatoirement à l'Est -- ne jamais survoler le petit bois des grandes antennes RMC -- 4 lignes électriques à 500m au N/O -- seuils décalés cause clôture électrique -- environnement sensible : Parc Regional -- survol campings, maisons interdit","1","herbe","","30","650","'13-31","herbe","","","","'Inconnue","123.5","","6,4,5","Restauration à proximité, Gîte à proximité, Camping possible","aeromartin@free.fr","+33 6 80 40 97 08","Aérodrome privé, PPR obligatoire au locataire du champ, Mr André Martin, Président de l'Aéro-Club du Lys, club de Motoplaneurs basé sur l'aérodrome de  Persan-Beaumont LFPA, mobile 06 80 40 97 08.site internet : http://www.aeroclub-sainte-croix-du-verdon.comRoute de Ste-Croix à Moustiers traverser la ferme des Roux (située à l'écart de cette route), au delà: 150m à droite: la piste"
"","LF0430","Seyne les Alpes","Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ","8/03/2011","26/12/2015","22/02/2016","44.341944, 6.372778000000039","N 44 20 31","E 006 22 22","3937 ft","","1","herbe","","50","900","'13-31","herbe","","","","'Inconnue","","","","","","+33 2 92 35 25 13","Aérodrome privé, exclusivement réservé au vol à voile. Utilisation du treuil."
"","LF0431","La Motte du Caire","Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ","8/03/2011","19/12/2015","27/12/2015","44.322860248510864, 6.031285560851984","N 44 19 22","E 006 01 53","2132 ft","Aérodrome privé, exclusivement réservé au vol à voile. Utilisation du treuil.","1","herbe","'36","50","1170","'18-36","herbe","","","","'Inconnue","123.5","","","","cvvmc04@wanadoo.fr","+33 4 92 68 35 11","Aérodrome privé, réservé exclusivement au Vol à Voile. Aucun aéronef à moteur n'est autorisé à décoller. Les lancements s'effectuent exclusivement au treuil. Un pilote de planeur qui atterrit à La Motte du Caire devra effectuer un vol de double avec un instructeur avant d'être autorisé à décoller son planeur même s'il a déjà une pratique du décollage au treuil."
"","LF0434","Thorame Haute Les Serres 2","AltiSurface en service ","8/03/2011","27/02/2016","29/02/2016","44.115, 6.538610999999946","N 44 06 54","E 006 32 19","6398 ft","","2","herbe","","20","350","'02-20","herbe","","20","300","'05-23","","","","","","+33 4 92 62 60 75","Avions : Qualification Montagne requise. Contactez l'AFPM pour de plus amples renseignements sur ce terrain.ULM : Libre d'accès. Pilotes, pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 06 98 28 28 50 ou 06 83 51 26 68."
"","LF0451","Hippodrome Oraison","Base ULM Accès privé","4/10/2011","9/06/2017","11/06/2017","43.92143620352292, 5.904078483581543","N 43 55 17","E 005 54 15","1100 ft","Activité Aéromodélisme, faire verticale 450ft pour se faire voir, tour de piste obligatoire coté Ouest sur la Durance. Emplacement biroute  à gauche en entrée de piste face Nord. L'axe de piste est délimité par 4 plaques blanches. Radio 123.50","1","herbe","'36","10","150","'18-36","herbe","","","","'Inconnue","Auto-info 123.5","à 200m ","6","Restauration à proximité","lemasdetheo@gmail.com","+33 6 32 59 34 15","250m utilisable le matin face Nord par brise descendante. 150m l'après midi en face Sud compte tenu des obstacles (ligne HT et hangar).Activité aéromodélisme, il est impératif de faire une verticale afin de se signaler.Piste fermée  sur Arrêté Préfectoral pour courses hippiques:Dates à retenir pour 2017 :  2 juillet 2017,  3 septembre 2017."
"","LF0452","Ségriès","Base ULM accès libre Utilisation EPISODIQUE ","8/03/2011","26/12/2015","22/02/2016","43.86777800000001, 6.178256767211906","N 43 52 04","E 006 10 42","2657 ft","Attention, piste dans le TdP de Puimoisson !! ...","1","herbe","","20","400","'06-24","herbe","","","","'Inconnue","Auto info 123.5","","","","","",""
"","LF0453","Cruis Mas Des Grailles","Base ULM Accès privé","27/09/2011","26/05/2016","27/05/2016","44.060283097367, 5.853009223937988","N 44 03 37","E 005 51 11","2270 ft","Terrain ULM de type altisurface.PPR : Contact préalable obligatoire, merci.L'atterrissage se fait obligatoirement en 35, la piste a une pente de 6 %. Possibilité de forts rabattants, en été, l'après midi.","1","herbe","'35","8","300","'17-35","herbe","","","","'Inconnue","123.5","","6","Restauration à proximité","masdesgrailles@gmail.com","+33 4 92 77 04 83","Le mas des Grailles est un Gîte de France, pourvu d'une piste ULM de 300mChambres avec petit déjeuners, ou gite en gestion libre pour plusieurs jours.Restaurants 1 ou 3 km . "
"","LF0456","Banon","AltiSurface en service ","8/03/2012","23/08/2017","24/08/2017","44.07228112077565, 5.639221763610976","N 44 04 20","E 005 38 21","3723 ft","Tour de piste main gauche, atterrissage face au nord, décollage face au sud,aérologie délicate.Ne pas utiliser la piste est-ouest pour cause de nuisances et son état de surface.","1","herbe","'35","15","500","'17-35","herbe","","","","'Inconnue","130.00","néant","","invalid","pierrelouisbremond@gmail.com","+33 4 92 73 21 09","Avions : Qualification Montagne requise.PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668.Localité la plus proche (Banon) à 6 km à pied."
"","LF0458","Thorame-Haute Chamatte","AltiSurface en service ","13/04/2015","6/02/2016","25/02/2016","44.139722222222225, 6.548333333333403","N 44 08 23","E 006 32 54","6827 ft","","1","neige","","20","350","'01-19","herbe","","","","'Inconnue","","","","","","+33 4 92 62 60 75","Avions : Qualification Montagne requise. Contactez l'AFPM pour de plus amples renseignements sur ce terrain.ULM : Libre d'accès. Pilotes, pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 06 98 28 28 50 ou 06 83 51 26 68."
"","LF0459","Thorame Basse","Base ULM ouverte tous types","1/12/2013","26/12/2015","22/02/2016","44.076944444444, 6.47361111111104","N 44 04 37","E 006 28 25","3609 ft","Terrain de type altisurface situé à 300m au NW du hameau de la-BâtieAtterrissage en 31, tour de piste côté NETalus au seuil 31, fossé au bout de champ, rotors et turbulence par vent de NW.","1","herbe","'31","20","300","'13-31","herbe","","","","'Inconnue","","","","","","",""
"oui","LF0522","Col Saint Jean","Altisurface fermée","10/04/2011","6/12/2013","10/12/2013","44.413889, 6.373056","N 44 24 50","E 006 22 23","6201 ft","Altisurface utilisable en hiver par neige avec skis. Présence fréquente de skieurs et de randonneurs.","1","neige","'07","25","450","'07-25","","","","","","","","","","","+33 4 92 05 04 36",""
"","LF0523","Glacier Lombard","AltiSurface en service ","8/03/2011","27/02/2016","29/02/2016","45.108333333333334, 6.322222222222194","N 45 06 30","E 006 19 20","10695 ft","Reco E en W. Approche verticale Torrent de Maurian puis N Aiguille de Goléon.Finale cap 310. Remise des gaz impossible en courte finale.","1","neige","","","","'13-31","herbe","","","","'Inconnue","","","","","","","Avions : Qualification Montagne obligatoireULM : Libre d'accèsPILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 06982828 ou le Président du club au 0609681122"
"","LF0524","Grand Terrus","AltiSurface en service ","8/03/2011","28/08/2017","30/08/2017","44.422777777778, 5.644166666666706","N 44 25 22","E 005 38 39","2871 ft","Piste de montagne : pente 15 %atterrissage en 02 décollage en 20. Seuil de piste 02 à 2700'. Arbres et ligne électrique en courte finale 02. Tour de piste main droite,clotures éléctriques autour du terrain protection contre les sangliers","1","herbe","'02","25","295","'02-20","herbe","","","","'Inconnue","","","","invalid","","+33 4 92 62 60 75","Avions : Qualification Montagne obligatoireULM : Libre d'accèsPILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668."
"oui","LF0535","Le Buzon Gap","Base ULM fermée définitivement","8/03/2011","8/03/2011","2/03/2014","44.603333, 6.106111","N 44 36 12","E 006 06 22","","","1","herbe","","","","'Inconnue","herbe","","","","'Inconnue","","","","","","",""
"","LF0538","Saint Etienne en Devoluy","AltiSurface en service ","11/07/2011","26/12/2015","22/02/2016","44.66803430605305, 5.90482365078401","N 44 40 05","E 005 54 17","6201 ft","Tour de piste 21 à main droite. Piste fort caillouteuse : dégâts possibles à l'aéronef (volets, hélice, profondeur)Pente de 10 à 17%, bas de la pente 6037', sommet 6201'. Après décollage en 03, virage à droite en passant au Nord de Super-Dévoluy.","1","terre","'21","40","445","'03-21","herbe","","","","'Inconnue","","","4","Gîte à proximité","","","Avions : Qualification Montagne obligatoireULM : Libre d'accèsPILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668.Live webcams de la station : http://www.ledevoluy.com/fr/direct-devoluy/webcam.htmlChalet pour la nuit à disposition des membres de l'AFPM"
"","LF0551","Crots","Base ULM Autorisation OBLIGATOIRE ","8/03/2011","26/12/2015","22/02/2016","44.53657313242666, 6.43500720962345","N 44 32 12","E 006 26 06","2600 ft","","1","terre","","40","450","'06-24","herbe","","","","'Inconnue","123.500","","","","rolland.jame@wanadoo.fr","+33 4 92 43 40 82","Contact et informationsDominique Morettidoumemoretti@gmail.comPort: 06 52 39 42 48"
"","LF0553","Colombe d'Eyguians","AltiSurface en service ","23/07/2012","7/11/2015","9/11/2015","44.365007359327, 5.786721801757835","N 44 21 54","E 005 47 12","2410 ft","Pente 10% en montée sur 04.Atterrissage en 04Décollage en 22","1","terre","'04","25","320","'04-22","herbe","","","","'Inconnue","130.00","","","","","+33 4 92 62 60 75","Avions : Qualification Montagne requise.ULM : Libre d'accès.PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668.(Nota: La longueur utile de la piste est de 280m)"
"","LF0621","Isola 2000","AltiSurface en service ","8/03/2011","18/07/2016","23/07/2016","44.171667, 7.163055999999983","N 44 10 18","E 007 09 47","7620 ft","Tours de piste main droite, en restant au dessus de la vallée, sans aller sur la crête au nord (frontière), la branche finale est donc courte, atterrissage en 17, décollage en 35. Seuil de piste 17 à gauche d'un petit lac et du téléski du Plateau.","1","herbe","'17","20","250","'17-35","herbe","","","","'Inconnue","130.00","","","","","+33 4 93 23 14 78","Altisurface située à 1km au Sud d'Isola 2000, Live Webcams : http://www.webcamski.com/interfaces/isola/interface.php?pk_interface=61&m=images&r=zooms Territoire devenu français en 1947.Qualification Montagne requise pour les avions.Libre d'accès pour les ULM.PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668."
"","LF0651","Juan Les Pins","HydroSurface Libre Ouvert aux ULM Autorisation OBLIGATOIRE ","8/03/2011","27/02/2016","29/02/2016","43.565547558903006, 7.102468582031181","N 43 33 56","E 007 06 09","","Plan d'eau uniquement accessible aux hydro ulm et à eux seuls. Des renseignements utiles sont a prendre au site internet suivant www.ulm-fayence.comSe munir d'une carte aéronautique et d'une radio.","1","eau","","0","0","'omnidir","herbe","","","","'Inconnue","Auto-info 123.5","","6","Restauration à proximité","pascalesautel@hotmail.com","+33 6 09 52 03 80","Attention la mairie d'Antibes refuse que l'on utilise ses chenaux."
